index,price,condo_fee,bedrooms,bathrooms,vacancies,floor,construction_year,total_area_m2,price_per_area,street_address,street_number,neighborhood,zip_code,city,state,country,address,description,url,link,latitude,longitude,advertizer
569,1070000,800,3,2,1,8,-1.0,103,10388.349514563106,Avenida Rebouças,,Pinheiros,05402000,São Paulo,SP,BR,"Avenida Rebouças , Pinheiros, 05402000, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2641608868/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-jardim-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2641608868/"">APARTAMENTO - PINHEIROS - SP</a>",,,Leardi Vila Nova Conceição 259
570,964000,2200,3,3,0,0,-1.0,115,8382.608695652174,Rua Alves Guimarães,,Pinheiros,05410000,São Paulo,SP,BR,"Rua Alves Guimarães , Pinheiros, 05410000, São Paulo, SP, BR","Apartamento com 3 dormitórios à venda, 115 m² por R$ 964.000 - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2623892346/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2623892346/"">Apartamento com 3 dormitórios à venda, 115 m² por R$ 964.000 - Pinheiros - São Paulo/SP</a>",,,Abivel Consultoria de Negócios LTDA
571,1200000,2000,3,3,0,10,1980.0,136,8823.529411764706,Avenida Pedroso de Morais,,Pinheiros,05419000,São Paulo,SP,BR,"Avenida Pedroso de Morais , Pinheiros, 05419000, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-136m2-id-2616981730/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-136m2-id-2616981730/"">APARTAMENTO - PINHEIROS - SP</a>",,,Paulo Roberto Leardi
572,1070000,1934,3,2,1,0,1976.0,111,9639.63963963964,Rua Deputado Lacerda Franco,553,Pinheiros,05418001,São Paulo,SP,BR,"Rua Deputado Lacerda Franco 553, Pinheiros, 05418001, São Paulo, SP, BR","Apartamento com 111 m2, 3 dormitórios, 1 suíte, 1 vaga de garagem - Pinheiros, São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2655986588/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-111m2-id-2655986588/"">Apartamento com 111 m2, 3 dormitórios, 1 suíte, 1 vaga de garagem - Pinheiros, São Paulo/SP</a>",-23.560583,-46.692509,Fragata Private Brokers
573,1180000,2700,3,2,2,0,-1.0,100,11800.0,Rua João Moura,2381,Vila Madalena,05412000,São Paulo,SP,BR,"Rua João Moura 2381, Vila Madalena, 05412000, São Paulo, SP, BR","Apartamento à venda, 100 m² por R$ 1.180.000,00 - Vila Madalena - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2568572628/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2568572628/"">Apartamento à venda, 100 m² por R$ 1.180.000,00 - Vila Madalena - São Paulo/SP</a>",-23.548632,-46.688361,Smero Imóveis Ltda - Me
574,1190000,1072,3,4,2,0,-1.0,129,9224.806201550387,,,Pinheiros,05410001,São Paulo,SP,BR," , Pinheiros, 05410001, São Paulo, SP, BR",Apartamento com 3 Dormitorio(s) localizado(a) no bairro Pinheiros em São Paulo / Ref.:OR,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2647909289/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2647909289/"">Apartamento com 3 Dormitorio(s) localizado(a) no bairro Pinheiros em São Paulo / Ref.:OR</a>",,,Zampier Negócios Imobiliários
575,1040000,1300,2,3,1,0,-1.0,126,8253.968253968254,Rua Henrique Schaumann,398,Pinheiros,05413020,São Paulo,SP,BR,"Rua Henrique Schaumann 398, Pinheiros, 05413020, São Paulo, SP, BR","Apartamento com 2 dormitórios à venda, 126 m² por R$ 1.040.000 - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2628573306/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-pinheiros-zona-oeste-sao-paulo-sp-126m2-id-2628573306/"">Apartamento com 2 dormitórios à venda, 126 m² por R$ 1.040.000 - Pinheiros - São Paulo/SP</a>",-23.561309,-46.679665,CHIMENTO IMÓVEIS
576,6500,1800,3,3,1,4,1988.0,125,52.0,Rua Teodoro Sampaio,,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio , Pinheiros, 05406100, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-125m2-id-2634074255/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-pinheiros-zona-oeste-sao-paulo-sp-125m2-id-2634074255/"">APARTAMENTO - PINHEIROS - SP</a>",,,Paulo Roberto Leardi
577,1150000,1483,3,2,1,0,-1.0,100,11500.0,Rua Henrique Schaumann,,Pinheiros,05413011,São Paulo,SP,BR,"Rua Henrique Schaumann , Pinheiros, 05413011, São Paulo, SP, BR",São Paulo - Apartamento Padrão - PINHEIROS,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2635721073/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2635721073/"">São Paulo - Apartamento Padrão - PINHEIROS</a>",,,LOCAL IMÓVEIS - ALTO DE PINHEIROS
578,1200000,2000,3,3,0,11,1980.0,136,8823.529411764706,Avenida Pedroso de Morais,,Pinheiros,05419000,São Paulo,SP,BR,"Avenida Pedroso de Morais , Pinheiros, 05419000, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-136m2-id-2573533606/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-136m2-id-2573533606/"">APARTAMENTO - PINHEIROS - SP</a>",,,PAULO ROBERTO LEARDI VL MADALENA
579,990000,0,3,2,1,0,-1.0,141,7021.276595744681,Rua Henrique Schaumann,136,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Pinheiros, 05413010, São Paulo, SP, BR","APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2645136147/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2645136147/"">APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros</a>",-23.563235,-46.678452,BR IMOB PROPERTIEES
580,1100000,1775,3,3,1,0,1974.0,141,7801.418439716312,Rua Henrique Schaumann,136,Pinheiros,05413011,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Pinheiros, 05413011, São Paulo, SP, BR",Apartamento com 03 dormitórios para venda em Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2631331670/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2631331670/"">Apartamento com 03 dormitórios para venda em Pinheiros</a>",-23.563235,-46.678452,Camargo Prime
581,1180000,1347,3,2,0,1,1964.0,157,7515.923566878981,Rua Navarro de Andrade,20,Pinheiros,05418020,São Paulo,SP,BR,"Rua Navarro de Andrade 20, Pinheiros, 05418020, São Paulo, SP, BR","Apartamento à venda em Pinheiros com 157 m², 3 quartos",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-157m2-id-2648831431/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-157m2-id-2648831431/"">Apartamento à venda em Pinheiros com 157 m², 3 quartos</a>",-23.564072,-46.687399,RI IMOB DIGITAL
582,990000,1775,3,3,1,0,-1.0,141,7021.276595744681,,,Pinheiros,05413010,São Paulo,SP,BR," , Pinheiros, 05413010, São Paulo, SP, BR","Amplo apartamento em Pinheiros, com 141m², 3 dormitórios, sendo 1 suíte, 1 vaga de garagem.",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2629845517/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2629845517/"">Amplo apartamento em Pinheiros, com 141m², 3 dormitórios, sendo 1 suíte, 1 vaga de garagem.</a>",,,ADELINO ALVES IMÒVEIS
583,900000,1250,2,1,1,2,1987.0,100,9000.0,Rua Fradique Coutinho,1036,Vila Madalena,05416001,São Paulo,SP,BR,"Rua Fradique Coutinho 1036, Vila Madalena, 05416001, São Paulo, SP, BR",Apartamento Vila Madalena 2 dormitórios 1 vaga 100 m² - Cód.: 4352,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2558721251/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2558721251/"">Apartamento Vila Madalena 2 dormitórios 1 vaga 100 m² - Cód.: 4352</a>",-23.55833,-46.68968,CLS­ Imóveis
584,1200000,0,3,2,1,0,-1.0,122,9836.065573770491,Rua Oscar Freire,,Pinheiros,05409011,São Paulo,SP,BR,"Rua Oscar Freire , Pinheiros, 05409011, São Paulo, SP, BR","Apartamento à Venda - Pinheiros, 3 Quartos, 122 m2",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-espaco-gourmet-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2652652839/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-espaco-gourmet-pinheiros-zona-oeste-sao-paulo-sp-122m2-id-2652652839/"">Apartamento à Venda - Pinheiros, 3 Quartos, 122 m2</a>",,,QuintoAndar Vendas
585,1150000,1351,3,2,1,5,1970.0,113,10176.991150442478,Rua Teodoro Sampaio,1704,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio 1704, Pinheiros, 05406100, São Paulo, SP, BR","Ótimo apartamento com 113 m² com living para 2 ambientes, 3 quartos (sendo 1 suíte) e 1 vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-113m2-id-2644402003/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-113m2-id-2644402003/"">Ótimo apartamento com 113 m² com living para 2 ambientes, 3 quartos (sendo 1 suíte) e 1 vaga</a>",-23.562206,-46.685411,RE/MAX Amplo
586,750000,515,3,2,0,2,1959.0,110,6818.181818181818,Rua Teodoro Sampaio,2261,Pinheiros,05405000,São Paulo,SP,BR,"Rua Teodoro Sampaio 2261, Pinheiros, 05405000, São Paulo, SP, BR",LINDO APTO COM 110 MTS Á 450 MTS METRÔ FRADIQUE E FARIA LIMA,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2593147356/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2593147356/"">LINDO APTO COM 110 MTS Á 450 MTS METRÔ FRADIQUE E FARIA LIMA</a>",-23.565074,-46.689848,Pladcon Imóveis
587,950000,1141,2,2,1,4,2001.0,119,7983.193277310925,Rua Fradique Coutinho,,Pinheiros,05416010,São Paulo,SP,BR,"Rua Fradique Coutinho , Pinheiros, 05416010, São Paulo, SP, BR",APARTAMENTO - PINHEIROS - SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-119m2-id-2655618496/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-pinheiros-zona-oeste-sao-paulo-sp-119m2-id-2655618496/"">APARTAMENTO - PINHEIROS - SP</a>",,,PAULO ROBERTO LEARDI VL MADALENA
588,1160000,1400,3,3,1,0,1973.0,107,10841.121495327103,Rua Oscar Freire,1,Pinheiros,05409010,São Paulo,SP,BR,"Rua Oscar Freire 1, Pinheiros, 05409010, São Paulo, SP, BR",Apartamento a Venda Rua Oscar Freire,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2628587296/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-107m2-id-2628587296/"">Apartamento a Venda Rua Oscar Freire</a>",-23.568511,-46.662739,Villalobos
589,1179970,2700,2,2,2,0,-1.0,100,11799.7,Rua João Moura,2381,Vila Madalena,05412004,São Paulo,SP,BR,"Rua João Moura 2381, Vila Madalena, 05412004, São Paulo, SP, BR",Venda Apartamento 2 Dormitórios - 100 m² Vila Madalena,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2654750453/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-vila-madalena-zona-oeste-sao-paulo-sp-100m2-id-2654750453/"">Venda Apartamento 2 Dormitórios - 100 m² Vila Madalena</a>",-23.548632,-46.688361,OH Imoveis
590,750000,1300,2,2,0,0,1969.0,121,6198.347107438017,Rua Oscar Freire,2185,Pinheiros,05409011,São Paulo,SP,BR,"Rua Oscar Freire 2185, Pinheiros, 05409011, São Paulo, SP, BR","Apartamento Pinheiros, 2 Quartos, 1 Vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2640619959/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-pinheiros-zona-oeste-sao-paulo-sp-121m2-id-2640619959/"">Apartamento Pinheiros, 2 Quartos, 1 Vaga</a>",-23.55394,-46.676892,Thaís S. Cordeiro
591,1000000,1100,3,3,1,8,1972.0,140,7142.857142857143,Rua Henrique Schaumann,1180,Pinheiros,05413011,São Paulo,SP,BR,"Rua Henrique Schaumann 1180, Pinheiros, 05413011, São Paulo, SP, BR","Apartamento à venda em Vila Madalena com 140 m², 3 quartos, 1 suíte, 1 vaga",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2654767080/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-140m2-id-2654767080/"">Apartamento à venda em Vila Madalena com 140 m², 3 quartos, 1 suíte, 1 vaga</a>",-23.555241,-46.683859,RI Negócios Imobiliários
592,1150000,1600,3,2,1,13,1976.0,102,11274.509803921568,Rua Henrique Monteiro,167,Pinheiros,05423020,São Paulo,SP,BR,"Rua Henrique Monteiro 167, Pinheiros, 05423020, São Paulo, SP, BR","Apartamento tipo para venda com 3 quartos, 102.8m²",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2655843373/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pinheiros-zona-oeste-sao-paulo-sp-102m2-id-2655843373/"">Apartamento tipo para venda com 3 quartos, 102.8m²</a>",-23.569848,-46.690059,REMAX COLLECTION IMOBI
593,1199970,1550,3,3,1,0,-1.0,130,9230.538461538461,Rua Mateus Grou,581,Pinheiros,05415050,São Paulo,SP,BR,"Rua Mateus Grou 581, Pinheiros, 05415050, São Paulo, SP, BR",Apartamento Venda Pinheiros 130 m² 3 Dormitórios,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2652425656/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2652425656/"">Apartamento Venda Pinheiros 130 m² 3 Dormitórios</a>",-23.561507,-46.686601,Olimpia House
594,990000,1775,3,2,1,0,1974.0,141,7021.276595744681,Rua Henrique Schaumann,136,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Pinheiros, 05413010, São Paulo, SP, BR",Apartamento em Pinheiros com 3 dormitórios,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2615846904/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-pinheiros-zona-oeste-sao-paulo-sp-141m2-id-2615846904/"">Apartamento em Pinheiros com 3 dormitórios</a>",-23.563235,-46.678452,Sh Prime Imóveis
595,1180000,2651,3,2,2,0,-1.0,103,11456.31067961165,,,Pinheiros,05427020,São Paulo,SP,BR," , Pinheiros, 05427020, São Paulo, SP, BR","Apartamento com 3 dormitórios à venda, 103 m² - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-gourmet-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2539213719/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-gourmet-pinheiros-zona-oeste-sao-paulo-sp-103m2-id-2539213719/"">Apartamento com 3 dormitórios à venda, 103 m² - Pinheiros - São Paulo/SP</a>",,,Home & Office Premium Negocios Imbiliários Ltda
596,1050000,1423,3,3,1,0,1980.0,129,8139.53488372093,Rua Fradique Coutinho,546,Pinheiros,05416000,São Paulo,SP,BR,"Rua Fradique Coutinho 546, Pinheiros, 05416000, São Paulo, SP, BR",SãO PAULO - Apartamento Padrão - Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2641061793/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-129m2-id-2641061793/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>",-23.561993,-46.687164,Neon Imóveis - Agência SP
597,1150000,1772,3,3,1,0,-1.0,105,10952.380952380952,Rua Oscar Freire,,Pinheiros,05409012,São Paulo,SP,BR,"Rua Oscar Freire , Pinheiros, 05409012, São Paulo, SP, BR","Apartamento à venda, 105 m² - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2567700496/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-pinheiros-zona-oeste-sao-paulo-sp-105m2-id-2567700496/"">Apartamento à venda, 105 m² - Pinheiros - São Paulo/SP</a>",,,Rase Imóveis
598,980000,1300,2,2,1,0,1968.0,107,9158.878504672897,Rua Henrique Schaumann,136,Jardim Paulista,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 136, Jardim Paulista, 05413010, São Paulo, SP, BR",SãO PAULO - Apartamento Padrão - Jardim Paulista,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-jardim-paulista-zona-sul-sao-paulo-sp-107m2-id-2641068354/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-jardim-paulista-zona-sul-sao-paulo-sp-107m2-id-2641068354/"">SãO PAULO - Apartamento Padrão - Jardim Paulista</a>",-23.563235,-46.678452,Neon Imóveis - Agência SP
599,954000,0,3,2,1,0,-1.0,130,7338.461538461538,Avenida Rebouças,1164,Pinheiros,05402000,São Paulo,SP,BR,"Avenida Rebouças 1164, Pinheiros, 05402000, São Paulo, SP, BR","Apartamento à venda, 130 m² por R$ 954.000,00 - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2628972060/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-130m2-id-2628972060/"">Apartamento à venda, 130 m² por R$ 954.000,00 - Pinheiros - São Paulo/SP</a>",-23.560704,-46.67309,B E G IMOVEIS
600,951880,1300,2,3,1,0,1970.0,120,7932.333333333333,Rua Henrique Schaumann,398,Pinheiros,05413010,São Paulo,SP,BR,"Rua Henrique Schaumann 398, Pinheiros, 05413010, São Paulo, SP, BR",,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2628322956/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-lavanderia-coletiva-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2628322956/""></a>",-23.561309,-46.679665,S2 BRokers
601,1080000,2330,3,3,2,16,1979.0,115,9391.304347826086,Rua Teodoro Sampaio,1424,Pinheiros,05405000,São Paulo,SP,BR,"Rua Teodoro Sampaio 1424, Pinheiros, 05405000, São Paulo, SP, BR",Apartamento no Condomínio Jardim das Antilhas em Pinheiros com 115m² 1 suíte 3 banheiros 2 vagas.,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2646273502/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-115m2-id-2646273502/"">Apartamento no Condomínio Jardim das Antilhas em Pinheiros com 115m² 1 suíte 3 banheiros 2 vagas.</a>",-23.56082,-46.68361,RI IMOB DIGITAL
602,980000,1000,3,2,0,10,1956.0,100,9800.0,Avenida Pedroso de Morais,144,Pinheiros,05420000,São Paulo,SP,BR,"Avenida Pedroso de Morais 144, Pinheiros, 05420000, São Paulo, SP, BR","Apartamento à venda em Pinheiros com 100 m², 3 quartos, 1 suíte",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2650324856/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2650324856/"">Apartamento à venda em Pinheiros com 100 m², 3 quartos, 1 suíte</a>",-23.568239,-46.688097,RI Negócios Imobiliários
603,949290,1200,3,2,1,0,2023.0,100,9492.9,Rua Francisco Leitão,100,Pinheiros,05414020,São Paulo,SP,BR,"Rua Francisco Leitão 100, Pinheiros, 05414020, São Paulo, SP, BR",Apartamento em Rua Francisco Leitão - Pinheiros - São Paulo/SP,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2647198872/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-pinheiros-zona-oeste-sao-paulo-sp-100m2-id-2647198872/"">Apartamento em Rua Francisco Leitão - Pinheiros - São Paulo/SP</a>",-23.563494,-46.679428,USUÁRIO NEWCORE
604,1200000,1350,3,1,1,0,1965.0,120,10000.0,Rua Teodoro Sampaio,1704,Pinheiros,05406100,São Paulo,SP,BR,"Rua Teodoro Sampaio 1704, Pinheiros, 05406100, São Paulo, SP, BR",SãO PAULO - Apartamento Padrão - Pinheiros,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2641068555/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-area-de-servico-pinheiros-zona-oeste-sao-paulo-sp-120m2-id-2641068555/"">SãO PAULO - Apartamento Padrão - Pinheiros</a>",-23.562206,-46.685411,Neon Imóveis - Agência SP
605,1060000,1200,3,2,1,0,-1.0,104,10192.307692307691,Avenida Rebouças,1278,Pinheiros,05401300,São Paulo,SP,BR,"Avenida Rebouças 1278, Pinheiros, 05401300, São Paulo, SP, BR","APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-104m2-id-2499296109/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-pinheiros-zona-oeste-sao-paulo-sp-104m2-id-2499296109/"">APARTAMENTO RESIDENCIAL em São Paulo - SP, Pinheiros</a>",-23.561222,-46.673861,PMENDONÇA IMÓVEIS
606,998120,500,3,1,0,0,-1.0,151,6610.066225165563,Rua Cardeal Arcoverde,518,Pinheiros,05407000,São Paulo,SP,BR,"Rua Cardeal Arcoverde 518, Pinheiros, 05407000, São Paulo, SP, BR","Apartamento à venda, 151 m² por R$ 998.120,00 - Pinheiros - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-151m2-id-2649008567/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-151m2-id-2649008567/"">Apartamento à venda, 151 m² por R$ 998.120,00 - Pinheiros - São Paulo/SP</a>",-23.555404,-46.678121,B E G IMOVEIS
607,860000,1630,3,4,1,17,1973.0,117,7350.427350427351,Rua Capote Valente,978,Perdizes,05409002,São Paulo,SP,BR,"Rua Capote Valente 978, Perdizes, 05409002, São Paulo, SP, BR","Apartamento à venda, 117 m² por R$ 860.000,00 - Perdizes - São Paulo/SP",https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-perdizes-zona-oeste-sao-paulo-sp-117m2-id-2531973837/,"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-perdizes-zona-oeste-sao-paulo-sp-117m2-id-2531973837/"">Apartamento à venda, 117 m² por R$ 860.000,00 - Perdizes - São Paulo/SP</a>",-23.553626,-46.678266,CENTURY 21 Alef
