;price;condo_fee;bedrooms;bathrooms;vacancies;floor;construction_year;total_area_m2;price_per_area;street_address;street_number;address;description;url;link;latitude;longitude;advertizer
2981;650000;1200;3;2;0;0;-1.0;150;4333.333333333333;Avenida Brigadeiro Luís Antônio;;Avenida Brigadeiro Luís Antônio , Bela Vista, 01318000, São Paulo, SP, BR;GALINHA MORTA - APARTAMENTO PARA REFORMA - OPORTUNIDADE;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-150m2-id-2525558426/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-150m2-id-2525558426/"">GALINHA MORTA - APARTAMENTO PARA REFORMA - OPORTUNIDADE</a>";;;SPERB IMOVEIS E ADMINISTRACAO S/C LTDA - ME
2982;896000;984;2;2;1;0;-1.0;141;6354.609929078014;Rua Santo Amaro;;Rua Santo Amaro , Bela Vista, 01315001, São Paulo, SP, BR;Apartamento para venda tem 141 metros quadrados com 2 quartos em Bela Vista - São Paulo - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-bela-vista-centro-sao-paulo-sp-141m2-id-2591096490/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-bela-vista-centro-sao-paulo-sp-141m2-id-2591096490/"">Apartamento para venda tem 141 metros quadrados com 2 quartos em Bela Vista - São Paulo - SP</a>";;;ft imóveis
2987;975000;1337;3;1;1;0;-1.0;165;5909.090909090909;Rua Treze de Maio;;Rua Treze de Maio , Bela Vista, 01327002, São Paulo, SP, BR;Venda Apartamento 3 quartos Bela Vista São Paulo;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-165m2-id-2581074933/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-165m2-id-2581074933/"">Venda Apartamento 3 quartos Bela Vista São Paulo</a>";;;OMA NETIMOVEIS
2993;850000;950;3;2;0;0;1976.0;131;6488.5496183206105;Rua Doutor Fausto Ferraz;227;Rua Doutor Fausto Ferraz 227, Bela Vista, 01333030, São Paulo, SP, BR;Apartamento Bela Vista, 3 Quartos, 1 Suite, 1 Vaga;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-131m2-id-2636680478/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-131m2-id-2636680478/"">Apartamento Bela Vista, 3 Quartos, 1 Suite, 1 Vaga</a>";-23.565459;-46.647043;Alberto H. Yoshida
2994;850000;0;3;2;1;0;-1.0;152;5592.105263157895;Rua Engenheiro Monlevade;22;Rua Engenheiro Monlevade 22, Bela Vista, 01308070, São Paulo, SP, BR;Bela Vista -R$850.000,00,152 metros quadrados e 3 quartos- ótimo local;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-152m2-id-88815022/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-152m2-id-88815022/"">Bela Vista -R$850.000,00,152 metros quadrados e 3 quartos- ótimo local</a>";-23.55907;-46.654392;Rudner Imóveis LTDA
2998;740000;0;2;2;0;0;-1.0;130;5692.307692307692;;; , Consolação, 01312000, São Paulo, SP, BR;Apartamento em Consolação - São Paulo;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-consolacao-centro-sao-paulo-sp-130m2-id-2540929777/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-consolacao-centro-sao-paulo-sp-130m2-id-2540929777/"">Apartamento em Consolação - São Paulo</a>";;;GONCALVES CONSULTORIA IMOBILIARIA LTDA - ME
3001;860000;1450;3;3;0;0;-1.0;140;6142.857142857143;Rua Manoel Dutra;539;Rua Manoel Dutra 539, Bela Vista, 01328010, São Paulo, SP, BR;Apartamento 3 Quartos à venda, Bela Vista - São Paulo;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-140m2-id-2633353719/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-140m2-id-2633353719/"">Apartamento 3 Quartos à venda, Bela Vista - São Paulo</a>";-23.555814;-46.648287;VANI CASA IMÓVEIS
3004;1050000;1500;3;3;0;0;-1.0;176;5965.909090909091;;; , Bela Vista, 01318001, São Paulo, SP, BR;APARTAMENTO Á VENDA, AMPLO, 03 DORMITÓRIOS SENDO 01 SUÍTE, BELA VISTA, S.P.;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-bela-vista-centro-sao-paulo-sp-176m2-id-2617969607/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-varanda-bela-vista-centro-sao-paulo-sp-176m2-id-2617969607/"">APARTAMENTO Á VENDA, AMPLO, 03 DORMITÓRIOS SENDO 01 SUÍTE, BELA VISTA, S.P.</a>";;;Dicon Imobiliária
3005;470000;725;2;2;0;0;1953.0;101;4653.465346534654;;; , Bela Vista, 01317906, São Paulo, SP, BR;APARTAMENTO À VENDA, 02 DORMITÓRIOS, BELA VISTA SP.;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-armario-embutido-bela-vista-centro-sao-paulo-sp-101m2-id-2638862162/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-armario-embutido-bela-vista-centro-sao-paulo-sp-101m2-id-2638862162/"">APARTAMENTO À VENDA, 02 DORMITÓRIOS, BELA VISTA SP.</a>";;;Dicon Imobiliária
3006;585000;860;3;1;0;2;1960.0;110;5318.181818181818;Avenida Nove de Julho;;Avenida Nove de Julho , Consolação, 01312000, São Paulo, SP, BR;APARTAMENTO - CONSOLAÇÃO - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-consolacao-centro-sao-paulo-sp-110m2-id-2616981979/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-consolacao-centro-sao-paulo-sp-110m2-id-2616981979/"">APARTAMENTO - CONSOLAÇÃO - SP</a>";;;Paulo Roberto Leardi
3007;561200;460;2;1;0;1;1963.0;112;5010.714285714285;Rua Santo Amaro;;Rua Santo Amaro , República, 01315000, São Paulo, SP, BR;Apartamento à venda em República com 112 m², 2 quartos;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-112m2-id-2654770968/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-112m2-id-2654770968/"">Apartamento à venda em República com 112 m², 2 quartos</a>";;;RI Negócios Imobiliários
3032;900000;406;3;3;0;0;-1.0;150;6000.0;;; , Bela Vista, 01330000, São Paulo, SP, BR;Apartamento com 3 Dormitorio(s) localizado(a) no bairro Bela Vista em São Paulo / Ref.:OR462447129;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-150m2-id-2646881084/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-150m2-id-2646881084/"">Apartamento com 3 Dormitorio(s) localizado(a) no bairro Bela Vista em São Paulo / Ref.:OR462447129</a>";;;Zampier Negócios Imobiliários
3036;1187500;1151;3;3;1;0;-1.0;238;4989.495798319328;Avenida Nove de Julho;915;Avenida Nove de Julho 915, Bela Vista, 01313001, São Paulo, SP, BR;Alto Padrão com valor exclusivo;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-238m2-id-2653598256/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-238m2-id-2653598256/"">Alto Padrão com valor exclusivo</a>";-23.551898;-46.646798;Lopes Prime
3037;700000;0;2;2;2;0;1980.0;120;5833.333333333333;Avenida Brigadeiro Luís Antônio;469;Avenida Brigadeiro Luís Antônio 469, Bela Vista, 01317000, São Paulo, SP, BR;SÃO PAULO - Apartamento Padrão - BELA VISTA;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-bela-vista-centro-sao-paulo-sp-120m2-id-2574588740/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-bela-vista-centro-sao-paulo-sp-120m2-id-2574588740/"">SÃO PAULO - Apartamento Padrão - BELA VISTA</a>";-23.554481;-46.638729;Bonafide Negócios Imobiliários
3047;650000;330;2;2;0;0;1979.0;128;5078.125;Rua Doutor Penaforte Mendes;169;Rua Doutor Penaforte Mendes 169, Bela Vista, 01308010, São Paulo, SP, BR;Apartamento de 128m² mobilado ao lado do Shopping Frei Caneca na Bela Vista;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-bela-vista-centro-sao-paulo-sp-128m2-id-2615724293/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-bela-vista-centro-sao-paulo-sp-128m2-id-2615724293/"">Apartamento de 128m² mobilado ao lado do Shopping Frei Caneca na Bela Vista</a>";-23.554536;-46.651819;Paula Thibes Imóveis
3050;900000;650;3;3;0;0;-1.0;150;6000.0;Rua Rocha;;Rua Rocha , Bela Vista, 01330000, São Paulo, SP, BR;APARTAMENTO RESIDENCIAL em São Paulo - SP, Bela Vista;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-150m2-id-2650408052/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-150m2-id-2650408052/"">APARTAMENTO RESIDENCIAL em São Paulo - SP, Bela Vista</a>";;;K2 Imóveis
3052;935000;1650;3;3;1;0;1967.0;145;6448.275862068966;;; , Bela Vista, 01327002, São Paulo, SP, BR;Apartamento ao lado shopping cidade de SP!!;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-sala-de-jantar-bela-vista-centro-sao-paulo-sp-145m2-id-2610601831/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-sala-de-jantar-bela-vista-centro-sao-paulo-sp-145m2-id-2610601831/"">Apartamento ao lado shopping cidade de SP!!</a>";;;SHISAN IMÓVEIS
3054;750000;1094;3;2;1;6;1964.0;139;5395.6834532374105;Rua Martinho Prado;153;Rua Martinho Prado 153, República, 01306040, São Paulo, SP, BR;Apartamento à venda em República com 139 m², 3 quartos, 1 vaga;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-republica-centro-sao-paulo-sp-139m2-id-2653029620/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-republica-centro-sao-paulo-sp-139m2-id-2653029620/"">Apartamento à venda em República com 139 m², 3 quartos, 1 vaga</a>";-23.550374;-46.646145;RI IMOB DIGITAL
3056;531915;531915;1;2;0;0;-1.0;115;4625.347826086957;Rua Condessa de São Joaquim;360;Rua Condessa de São Joaquim 360, Bela Vista, 01320000, São Paulo, SP, BR;Apartamento à venda, 115 m² por R$ 531.914,98 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-bela-vista-centro-sao-paulo-sp-115m2-id-2625331967/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-bela-vista-centro-sao-paulo-sp-115m2-id-2625331967/"">Apartamento à venda, 115 m² por R$ 531.914,98 - Bela Vista - São Paulo/SP</a>";-23.557254;-46.640344;B&G IMOBILIARIA, ADMINISTRADORA E CORRETORA DE IMOVEIS LTDA
3058;520000;560;1;2;0;0;-1.0;109;4770.642201834862;;; , Bela Vista, 01321010, São Paulo, SP, BR;Apartamento BELA VISTA SAO PAULO SP Brasil;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-interfone-bela-vista-centro-sao-paulo-sp-109m2-id-2574094852/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-interfone-bela-vista-centro-sao-paulo-sp-109m2-id-2574094852/"">Apartamento BELA VISTA SAO PAULO SP Brasil</a>";;;SP Centro Imóveis Ltda Me
3062;550000;589;1;2;0;9;1970.0;100;5500.0;Rua Condessa de São Joaquim;360;Rua Condessa de São Joaquim 360, Bela Vista, 01320000, São Paulo, SP, BR;Apartamento com 1 dormitório à venda, 100 m² por R$ 550.000,00 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-bela-vista-centro-sao-paulo-sp-100m2-id-2631170679/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-cozinha-bela-vista-centro-sao-paulo-sp-100m2-id-2631170679/"">Apartamento com 1 dormitório à venda, 100 m² por R$ 550.000,00 - Bela Vista - São Paulo/SP</a>";-23.557254;-46.640344;Marcos Pimenta Imóveis Ltda
3067;850000;950;3;2;0;0;-1.0;131;6488.5496183206105;Rua Doutor Fausto Ferraz;227;Rua Doutor Fausto Ferraz 227, Bela Vista, 01333030, São Paulo, SP, BR;APARTAMENTO RESIDENCIAL em São Paulo - SP, Bela Vista;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-131m2-id-2644912811/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-131m2-id-2644912811/"">APARTAMENTO RESIDENCIAL em São Paulo - SP, Bela Vista</a>";-23.565459;-46.647043;BR IMOB PROPERTIEES
3069;850000;600;3;2;0;3;1971.0;150;5666.666666666667;Rua Conselheiro Ramalho;;Rua Conselheiro Ramalho , Bela Vista, 01325001, São Paulo, SP, BR;APARTAMENTO - BELA VISTA - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-lavanderia-coletiva-bela-vista-centro-sao-paulo-sp-150m2-id-2617280646/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-lavanderia-coletiva-bela-vista-centro-sao-paulo-sp-150m2-id-2617280646/"">APARTAMENTO - BELA VISTA - SP</a>";;;PAULO ROBERTO LEARDI - PERDIZES
3070;700000;730;2;2;1;0;1954.0;126;5555.555555555556;Rua Santo Antônio;733;Rua Santo Antônio 733, Bela Vista, 01314000, São Paulo, SP, BR;Excelente apartamento para venda com 126m² e 2 quartos em Bela Vista - São Paulo - SP.;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-bela-vista-centro-sao-paulo-sp-126m2-id-2645308173/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-jardim-bela-vista-centro-sao-paulo-sp-126m2-id-2645308173/"">Excelente apartamento para venda com 126m² e 2 quartos em Bela Vista - São Paulo - SP.</a>";-23.55197;-46.64536;ARBO IMÓVEIS
3071;580000;0;3;2;1;0;1980.0;103;5631.0679611650485;Rua Jardim Francisco Marcos;40;Rua Jardim Francisco Marcos 40, Bela Vista, 01319050, São Paulo, SP, BR;Casa à venda, 103 m² por R$ 580.000,00 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ar-condicionado-bela-vista-centro-sao-paulo-sp-103m2-id-2643639852/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-ar-condicionado-bela-vista-centro-sao-paulo-sp-103m2-id-2643639852/"">Casa à venda, 103 m² por R$ 580.000,00 - Bela Vista - São Paulo/SP</a>";-23.553486;-46.642521;Marcos Pimenta Imóveis Ltda
3072;600000;0;3;2;1;0;1958.0;152;3947.3684210526317;Rua do Bixiga;;Rua do Bixiga , Bela Vista, 01315020, São Paulo, SP, BR;Sobrado na Bela Vista para reforma e venda!;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-152m2-id-2646236022/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-152m2-id-2646236022/"">Sobrado na Bela Vista para reforma e venda!</a>";;;IMOBILIÁRIA NOVA SÃO PAULO
3074;638000;950;3;2;0;13;1955.0;110;5800.0;Avenida Nove de Julho;1066;Avenida Nove de Julho 1066, Bela Vista, 01312000, São Paulo, SP, BR;Apartamento para venda na Bela Vista, 110 metros com 3 quartos, Edifício Henrique Cunha Bueno;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-110m2-id-2646264357/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-110m2-id-2646264357/"">Apartamento para venda na Bela Vista, 110 metros com 3 quartos, Edifício Henrique Cunha Bueno</a>";-23.552822;-46.647944;RI IMOB DIGITAL
3077;850000;987;2;2;0;7;1955.0;133;6390.977443609023;Rua Santo Amaro;271;Rua Santo Amaro 271, República, 01315001, São Paulo, SP, BR;Apartamento à venda em República com 133 m², 2 quartos, 1 suíte;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-133m2-id-2653030297/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-133m2-id-2653030297/"">Apartamento à venda em República com 133 m², 2 quartos, 1 suíte</a>";-23.552153;-46.640442;RI IMOB DIGITAL
3082;730000;0;2;2;0;0;-1.0;116;6293.103448275862;Rua Santo Antônio;733;Rua Santo Antônio 733, Bela Vista, 01314001, São Paulo, SP, BR;Apartamento com 2 dormitórios à venda, 116 m² por R$ 730.000 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-bela-vista-centro-sao-paulo-sp-116m2-id-2654384653/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-bela-vista-centro-sao-paulo-sp-116m2-id-2654384653/"">Apartamento com 2 dormitórios à venda, 116 m² por R$ 730.000 - Bela Vista - São Paulo/SP</a>";-23.55197;-46.64536;CHIMENTO IMÓVEIS
3083;580000;550;2;1;0;0;-1.0;133;4360.902255639097;;; , Bela Vista, 01316030, São Paulo, SP, BR;Apartamento BELA VISTA SAO PAULO SP Brasil;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-133m2-id-1037796519/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-133m2-id-1037796519/"">Apartamento BELA VISTA SAO PAULO SP Brasil</a>";;;SP Centro Imóveis Ltda Me
3086;600000;647;2;2;0;0;1940.0;104;5769.2307692307695;Avenida Brigadeiro Luís Antônio;993;Avenida Brigadeiro Luís Antônio 993, Bela Vista, 01317001, São Paulo, SP, BR;Apartamento na Bela Vista com 2 dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-104m2-id-2636204966/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-104m2-id-2636204966/"">Apartamento na Bela Vista com 2 dormitórios</a>";-23.55851;-46.641484;Sh Prime Imóveis
3094;695000;700;2;3;1;7;-1.0;110;6318.181818181818;Rua Santo Antônio;;Rua Santo Antônio , Bela Vista, 01314000, São Paulo, SP, BR;Apartamento à venda, 110 m² por R$ 695.000,00 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-110m2-id-2523380374/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-110m2-id-2523380374/"">Apartamento à venda, 110 m² por R$ 695.000,00 - Bela Vista - São Paulo/SP</a>";;;ARCOVERDE IMOBILIARIA LTDA
3096;890000;984;2;3;1;8;-1.0;141;6312.056737588652;Rua Santo Amaro;;Rua Santo Amaro , Centro, 01315000, São Paulo, SP, BR;APARTAMENTO - CENTRO - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-centro-centro-sao-paulo-sp-141m2-id-2649258598/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-interfone-centro-centro-sao-paulo-sp-141m2-id-2649258598/"">APARTAMENTO - CENTRO - SP</a>";;;Paulo Roberto Leardi
3098;889990;980;2;2;1;0;-1.0;141;6311.985815602837;Rua Santo Amaro;232;Rua Santo Amaro 232, Bela Vista, 01315000, São Paulo, SP, BR;Apartamento Venda Bela Vista 141 m² 2 Dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652262407/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652262407/"">Apartamento Venda Bela Vista 141 m² 2 Dormitórios</a>";-23.551805;-46.640677;Olimpia House
3102;889990;980;2;2;1;0;-1.0;141;6311.985815602837;Rua Santo Amaro;232;Rua Santo Amaro 232, Bela Vista, 01315000, São Paulo, SP, BR;Apartamento Venda Bela Vista 141 m² 2 Dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652270994/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652270994/"">Apartamento Venda Bela Vista 141 m² 2 Dormitórios</a>";-23.551805;-46.640677;Olimpia House
3104;1100000;1700;3;3;2;0;-1.0;172;6395.3488372093025;Rua Martiniano de Carvalho;;Rua Martiniano de Carvalho , Bela Vista, 01321001, São Paulo, SP, BR;apto muito espaçoso, sala, copa e cozinha, area de serviço tudo grande, janela dos dois lados;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-bela-vista-centro-sao-paulo-sp-172m2-id-2500114311/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-salao-de-festas-bela-vista-centro-sao-paulo-sp-172m2-id-2500114311/"">apto muito espaçoso, sala, copa e cozinha, area de serviço tudo grande, janela dos dois lados</a>";;;SPERB IMOVEIS E ADMINISTRACAO S/C LTDA - ME
3105;549900;550;3;3;0;0;2023.0;133;4134.586466165413;Rua Asdrúbal do Nascimento;100;Rua Asdrúbal do Nascimento 100, Bela Vista, 01316030, São Paulo, SP, BR;Apartamento em Rua Asdrúbal do Nascimento - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-133m2-id-2649708894/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-133m2-id-2649708894/"">Apartamento em Rua Asdrúbal do Nascimento - Bela Vista - São Paulo/SP</a>";-23.550399;-46.638476;USUÁRIO NEWCORE
3106;900000;406;3;2;0;0;-1.0;150;6000.0;Rua Rocha;238;Rua Rocha 238, Bela Vista, 01330000, São Paulo, SP, BR;Apartamento com 3 dormitórios à venda, 150 m² por R$ 900.000,00 - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-150m2-id-2655160264/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-cozinha-bela-vista-centro-sao-paulo-sp-150m2-id-2655160264/"">Apartamento com 3 dormitórios à venda, 150 m² por R$ 900.000,00 - Bela Vista - São Paulo/SP</a>";-23.558335;-46.649792;B E G IMOVEIS
3112;889650;984;2;2;1;0;2023.0;141;6309.574468085107;Rua Santo Amaro;100;Rua Santo Amaro 100, Bela Vista, 01315000, São Paulo, SP, BR;Apartamento em Rua Santo Amaro - Bela Vista - São Paulo/SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-141m2-id-2653137905/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-141m2-id-2653137905/"">Apartamento em Rua Santo Amaro - Bela Vista - São Paulo/SP</a>";-23.556287;-46.640016;USUÁRIO NEWCORE
3116;600000;598;2;3;0;6;1956.0;100;6000.0;Rua Martinho Prado;;Rua Martinho Prado , República, 01306040, São Paulo, SP, BR;Apartamento à venda em República com 100 m², 2 quartos, 1 suíte;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-100m2-id-2654770766/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-republica-centro-sao-paulo-sp-100m2-id-2654770766/"">Apartamento à venda em República com 100 m², 2 quartos, 1 suíte</a>";;;RI Negócios Imobiliários
3118;889990;980;2;2;1;0;-1.0;141;6311.985815602837;Rua Santo Amaro;232;Rua Santo Amaro 232, Bela Vista, 01315000, São Paulo, SP, BR;Apartamento Venda Bela Vista 141 m² 2 Dormitórios;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652316061/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-area-de-servico-bela-vista-centro-sao-paulo-sp-141m2-id-2652316061/"">Apartamento Venda Bela Vista 141 m² 2 Dormitórios</a>";-23.551805;-46.640677;OH Imoveis
3138;850000;600;3;2;0;3;1971.0;150;5666.666666666667;Rua Conselheiro Ramalho;;Rua Conselheiro Ramalho , Bela Vista, 01325001, São Paulo, SP, BR;APARTAMENTO - BELA VISTA - SP;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-lavanderia-coletiva-bela-vista-centro-sao-paulo-sp-150m2-id-2642641477/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-lavanderia-coletiva-bela-vista-centro-sao-paulo-sp-150m2-id-2642641477/"">APARTAMENTO - BELA VISTA - SP</a>";;;Paulo Roberto Leardi
3143;480000;900;2;2;1;0;1962.0;100;4800.0;Rua Maria Paula;;Rua Maria Paula , Bela Vista, 01319905, São Paulo, SP, BR;Apartamento 2 dormitórios Bela Vista;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-100m2-id-2489563959/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-bela-vista-centro-sao-paulo-sp-100m2-id-2489563959/"">Apartamento 2 dormitórios Bela Vista</a>";;;Rizk Imoveis
3148;745000;991;3;2;1;0;-1.0;138;5398.550724637681;Avenida Brigadeiro Luís Antônio;;Avenida Brigadeiro Luís Antônio , Bela Vista, 01318001, São Paulo, SP, BR;Apartamento à venda em Sao Paulo;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-138m2-id-2641956892/;"<a href=""https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-bela-vista-centro-sao-paulo-sp-138m2-id-2641956892/"">Apartamento à venda em Sao Paulo</a>";;;EMCASA
